,Round,Tick,Type,relativeTime,Price,Quantity
0,1,1,at bid,0.33822877147663527,999.99,1
1,1,1,at bid,0.42724590116346267,999.99,1
2,1,1,at bid,0.5343128880693964,999.99,1
3,1,1,at ask,0.6725046659670972,1000.01,1
4,1,2,at bid,0.12174300151116688,1149.99,1
5,1,2,at ask,0.4575939511091882,1150.01,1
6,1,2,at bid,0.8999203710367158,1149.99,1
7,1,2,at ask,0.9668701345203677,1150.01,1
8,1,3,at ask,0.269485391596607,1250.01,1
9,1,3,at bid,0.34488277784519117,1249.99,1
10,1,3,at bid,0.701011368032521,1249.99,1
11,1,3,at bid,0.7669323641225054,1249.99,1
12,1,4,at ask,0.08542897779095976,1350.01,1
13,1,4,at ask,0.35146469960337856,1350.01,1
14,1,4,at ask,0.7661294250061581,1350.01,1
15,1,4,at bid,0.9965021275154795,1349.99,1
16,1,5,at ask,0.21892164222648203,1500.01,1
17,1,5,at bid,0.6270115859834126,1499.99,1
18,1,5,at ask,0.7581003823296513,1500.01,1
19,1,5,at ask,0.8991691101525613,1500.01,1
20,1,6,at ask,0.067835606648712,1350.01,1
21,1,6,at ask,0.3580339997437657,1350.01,1
22,1,6,at ask,0.3743695567538133,1350.01,1
23,1,7,at bid,0.08576388805659058,1399.99,1
24,1,7,at ask,0.14760513524961338,1400.01,1
25,1,7,at ask,0.24443372475151176,1400.01,1
26,1,7,at ask,0.2900616501593167,1400.01,1
27,1,7,at ask,0.29322891828858827,1400.01,1
28,1,8,at bid,0.039313924931098664,1499.99,1
29,1,8,at bid,0.4918884483905872,1499.99,1
30,1,8,at bid,0.8599646404196006,1499.99,1
31,1,9,at bid,0.14920979364857298,1599.99,1
32,1,9,at bid,0.37284944473472303,1599.99,1
33,1,9,at ask,0.5250980611126068,1600.01,1
34,1,10,at bid,0.27146536154274176,1749.99,1
35,1,10,at bid,0.6452108475453855,1749.99,1
36,1,10,at bid,0.723099736847329,1749.99,1
37,1,10,at bid,0.9720314765330395,1749.99,1
38,1,11,at bid,0.38937644521111175,1649.99,1
39,1,11,at bid,0.5147113326846339,1649.99,1
40,1,11,at ask,0.6791230134208958,1650.01,1
41,1,11,at ask,0.7483370786990248,1650.01,1
42,1,11,at ask,0.7535958212030519,1650.01,1
43,1,11,at ask,0.7657843910252334,1650.01,1
44,1,11,at ask,0.8367687307568976,1650.01,1
45,1,11,at bid,0.9074555767711329,1649.99,1
46,1,12,at ask,0.5315378408842847,1550.01,1
47,1,13,at ask,0.2231849846121902,1500.01,1
48,1,13,at bid,0.23242443763951565,1499.99,1
49,1,13,at ask,0.32653997031781223,1500.01,1
50,1,13,at bid,0.3409327781253366,1499.99,1
51,1,13,at bid,0.4413548777873822,1499.99,1
52,1,13,at bid,0.8028731717692791,1499.99,1
53,1,14,at ask,0.08134973189879802,1550.01,1
54,1,14,at ask,0.8684843947446189,1550.01,1
55,1,14,at bid,0.8746608236412018,1549.99,1
56,1,15,at ask,0.1986456741141128,1700.01,1
57,1,15,at ask,0.19960167649111607,1700.01,1
58,1,15,at ask,0.2810109895862785,1700.01,1
59,1,15,at ask,0.29912854273772627,1700.01,1
60,1,15,at bid,0.3342246970547573,1699.99,1
